"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Bad Practice Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Correctness Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Dodgy Code Rules","Empty Code Rules","Experimental Rules","Finalizer Rules","Import Statement Rules","Internationalization Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Multithreaded Correctness Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L10880","InputStream getInputStream(File file)","org.apache.log4j.lf5.viewer.configure.MRUFileManager.getInputStream(Ljava/io/File;)Ljava/io/InputStream;","L10851","L103","D:\Development\SourceMeter-7.0.2-x64-windows\Java\Demo\apache-log4j-1.2.17\src\main\java\org\apache\log4j\lf5\viewer\configure\MRUFileManager.java","204","3","210","4","0","0","0","0","0","0","0","0","1","0","0","1","0","0.571429","8","8","0.571429","8","6","7","2","1","6","7","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L10882","InputStream getInputStream(URL url)","org.apache.log4j.lf5.viewer.configure.MRUFileManager.getInputStream(Ljava/net/URL;)Ljava/io/InputStream;","L10851","L103","D:\Development\SourceMeter-7.0.2-x64-windows\Java\Demo\apache-log4j-1.2.17\src\main\java\org\apache\log4j\lf5\viewer\configure\MRUFileManager.java","218","3","220","4","0","0","0","0","0","0","0","0","1","0","0","1","0","0.666667","6","6","0.666667","6","3","3","1","1","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L10887","void setMRU(Object o)","org.apache.log4j.lf5.viewer.configure.MRUFileManager.setMRU(Ljava/lang/Object;)V","L10851","L103","D:\Development\SourceMeter-7.0.2-x64-windows\Java\Demo\apache-log4j-1.2.17\src\main\java\org\apache\log4j\lf5\viewer\configure\MRUFileManager.java","225","3","234","4","0","0","0","0","0","0","0","0","2","1","1","2","2","0.25","3","3","0.25","3","9","10","5","1","9","10","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L10858","void load()","org.apache.log4j.lf5.viewer.configure.MRUFileManager.load()V","L10851","L103","D:\Development\SourceMeter-7.0.2-x64-windows\Java\Demo\apache-log4j-1.2.17\src\main\java\org\apache\log4j\lf5\viewer\configure\MRUFileManager.java","240","3","265","4","0","0","0","0","0","0","0","0","6","4","4","2","2","0.178571","5","4","0.178571","5","23","26","14","0","23","26","14","0","0","3","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"L10867","String getFilename()","org.apache.log4j.lf5.viewer.configure.MRUFileManager.getFilename()Ljava/lang/String;","L10851","L103","D:\Development\SourceMeter-7.0.2-x64-windows\Java\Demo\apache-log4j-1.2.17\src\main\java\org\apache\log4j\lf5\viewer\configure\MRUFileManager.java","267","3","272","4","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","5","6","3","0","5","6","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L10860","void setMaxSize(int maxSize)","org.apache.log4j.lf5.viewer.configure.MRUFileManager.setMaxSize(I)V","L10851","L103","D:\Development\SourceMeter-7.0.2-x64-windows\Java\Demo\apache-log4j-1.2.17\src\main\java\org\apache\log4j\lf5\viewer\configure\MRUFileManager.java","277","3","285","4","0","0","0","0","0","0","0","0","3","2","2","3","0","0.529412","9","3","0.529412","9","8","9","6","1","8","9","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L11117","LogBrokerMonitorWindowAdaptor(LogBrokerMonitor monitor)","org.apache.log4j.lf5.viewer.LogBrokerMonitor$LogBrokerMonitorWindowAdaptor.<init>(Lorg/apache/log4j/lf5/viewer/LogBrokerMonitor;)V","L11114","L103","D:\Development\SourceMeter-7.0.2-x64-windows\Java\Demo\apache-log4j-1.2.17\src\main\java\org\apache\log4j\lf5\viewer\LogBrokerMonitor.java","1602","5","1604","6","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L11761","void windowClosing(WindowEvent ev)","org.apache.log4j.lf5.viewer.LogBrokerMonitor$LogBrokerMonitorWindowAdaptor.windowClosing(Ljava/awt/event/WindowEvent;)V","L11114","L103","D:\Development\SourceMeter-7.0.2-x64-windows\Java\Demo\apache-log4j-1.2.17\src\main\java\org\apache\log4j\lf5\viewer\LogBrokerMonitor.java","1606","5","1608","6","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L11934","LogTableListSelectionListener(JTable table)","org.apache.log4j.lf5.viewer.LogTable$LogTableListSelectionListener.<init>(Ljavax/swing/JTable;)V","L11931","L103","D:\Development\SourceMeter-7.0.2-x64-windows\Java\Demo\apache-log4j-1.2.17\src\main\java\org\apache\log4j\lf5\viewer\LogTable.java","218","5","220","6","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L11977","void valueChanged(ListSelectionEvent e)","org.apache.log4j.lf5.viewer.LogTable$LogTableListSelectionListener.valueChanged(Ljavax/swing/event/ListSelectionEvent;)V","L11931","L103","D:\Development\SourceMeter-7.0.2-x64-windows\Java\Demo\apache-log4j-1.2.17\src\main\java\org\apache\log4j\lf5\viewer\LogTable.java","222","5","269","6","0","0","0","0","0","0","0","0","11","3","3","0","0","0.190476","8","0","0.190476","8","34","48","26","1","34","48","26","0","0","3","1","2","0","0","1","0","0","0","0","0","1","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0"
