"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Bad Practice Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Correctness Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Dodgy Code Rules","Empty Code Rules","Experimental Rules","Finalizer Rules","Import Statement Rules","Inheritance Metric Rules","Internationalization Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Multithreaded Correctness Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L9261","Log4JLogRecord","org.apache.log4j.lf5.Log4JLogRecord","L9189","L103","D:\Development\SourceMeter-7.0.2-x64-windows\Java\Demo\apache-log4j-1.2.17\src\main\java\org\apache\log4j\lf5\Log4JLogRecord.java","32","1","113","2","0","0","0","0","0","0","0","0","1","1","1","6","3","2","2","4","7","1","0.671642","45","36","4","0","0.671642","45","1","1","0","0","1","22","82","11","11","0","0","3","0","3","1","29","13","0","28","11","22","82","11","11","0","0","3","0","3","1","29","13","0","28","11","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L9369","LogLevel","org.apache.log4j.lf5.LogLevel","L9189","L103","D:\Development\SourceMeter-7.0.2-x64-windows\Java\Demo\apache-log4j-1.2.17\src\main\java\org\apache\log4j\lf5\LogLevel.java","42","1","272","2","0.0593525","1","3","1","0.0562771","0.075188","13","10","2","2","2","32","1","14","17","1","18","0.411765","0.331658","66","54","7","10","0.331658","66","0","0","0","0","0","133","231","19","6","19","6","17","11","16","1","17","53","11","16","1","133","231","19","6","19","6","17","11","16","1","17","53","11","16","1","0","0","37","1","15","0","0","1","1","0","8","0","1","0","0","0","0","0","0","4","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","9","0","2","0","0","0"
"L9284","LogLevelFormatException","org.apache.log4j.lf5.LogLevelFormatException","L9189","L103","D:\Development\SourceMeter-7.0.2-x64-windows\Java\Demo\apache-log4j-1.2.17\src\main\java\org\apache\log4j\lf5\LogLevelFormatException.java","30","1","67","2","0","0","0","0","0","0","0","0","0","0","0","1","0","4","1","0","1","1","0.83871","26","14","2","0","0.83871","26","0","0","0","0","0","5","38","0","0","0","0","1","0","1","0","1","1","0","1","0","5","38","0","0","0","0","1","0","1","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L9339","LogRecord","org.apache.log4j.lf5.LogRecord","L9189","L103","D:\Development\SourceMeter-7.0.2-x64-windows\Java\Demo\apache-log4j-1.2.17\src\main\java\org\apache\log4j\lf5\LogRecord.java","33","1","392","2","0","0","0","0","0","0","0","0","2","1","1","32","1","15","16","0","27","1","0.62037","201","194","27","0","0.62037","201","0","0","2","2","0","123","360","11","11","11","11","27","0","26","10","27","53","0","26","10","123","360","11","11","11","11","27","0","26","10","27","53","0","26","10","0","1","12","1","12","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","1","1","9","0","0","0","0","0"
"L9540","PassingLogRecordFilter","org.apache.log4j.lf5.PassingLogRecordFilter","L9189","L103","D:\Development\SourceMeter-7.0.2-x64-windows\Java\Demo\apache-log4j-1.2.17\src\main\java\org\apache\log4j\lf5\PassingLogRecordFilter.java","28","1","73","2","0","0","0","0","0","0","0","0","2","0","0","2","2","0","0","0","2","1","0.8","28","18","3","0","0.8","28","1","1","0","0","1","7","46","0","0","0","0","2","0","2","0","2","1","0","2","0","7","46","0","0","0","0","2","0","2","0","2","1","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L9550","StartLogFactor5","org.apache.log4j.lf5.StartLogFactor5","L9189","L103","D:\Development\SourceMeter-7.0.2-x64-windows\Java\Demo\apache-log4j-1.2.17\src\main\java\org\apache\log4j\lf5\StartLogFactor5.java","30","1","79","2","0","0","0","0","0","0","0","0","1","0","0","1","3","0","0","7","8","1","0.722222","26","17","2","0","0.722222","26","0","0","0","0","0","10","50","0","0","0","0","1","0","1","0","1","4","0","1","0","10","50","0","0","0","0","1","0","1","0","1","4","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L13449","NDC$DiagnosticContext","org.apache.log4j.NDC$DiagnosticContext","L13405","L103","D:\Development\SourceMeter-7.0.2-x64-windows\Java\Demo\apache-log4j-1.2.17\src\main\java\org\apache\log4j\NDC.java","421","4","434","4","0","0","0","0","0","0","0","0","0","1","1","2","0","1","1","0","1","1","0.0769231","1","1","1","0","0.0769231","1","0","0","0","0","0","12","14","2","0","2","0","1","0","0","0","1","4","0","0","0","12","14","2","0","2","0","1","0","0","0","1","4","0","0","0","0","0","4","0","2","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L13490","NTEventLogAppender","org.apache.log4j.nt.NTEventLogAppender","L13485","L103","D:\Development\SourceMeter-7.0.2-x64-windows\Java\Demo\apache-log4j-1.2.17\src\main\java\org\apache\log4j\nt\NTEventLogAppender.java","41","1","182","2","0","0","0","0","0","0","0","0","3","3","3","24","6","1","1","8","24","0.214286","0.203008","27","21","3","11","0.203008","27","2","3","0","0","1","106","142","10","7","3","1","16","0","13","1","34","36","0","29","5","106","142","10","7","3","1","16","0","13","1","34","36","0","29","5","0","0","28","7","7","0","1","0","0","0","0","0","1","0","0","2","0","0","0","2","27","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","3","1","0","2","0","0","0","0"
"L13548","NTEventLogAppenderTest","org.apache.log4j.nt.NTEventLogAppenderTest","L13485","L103","D:\Development\SourceMeter-7.0.2-x64-windows\Java\Demo\apache-log4j-1.2.17\tests\src\java\org\apache\log4j\nt\NTEventLogAppenderTest.java","32","1","55","2","0","0","0","0","0","0","0","0","2","0","0","2","6","0","0","10","12","1","0.428571","12","12","3","0","0.428571","12","0","0","0","0","0","16","24","0","0","0","0","2","0","2","0","2","10","0","2","0","16","24","0","0","0","0","2","0","2","0","2","10","0","2","0","0","0","3","5","6","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","7","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0"
"L13567","DefaultRenderer","org.apache.log4j.or.DefaultRenderer","L13559","L103","D:\Development\SourceMeter-7.0.2-x64-windows\Java\Demo\apache-log4j-1.2.17\src\main\java\org\apache\log4j\or\DefaultRenderer.java","26","1","42","2","0","0","0","0","0","0","0","0","1","1","1","3","1","0","0","0","2","1","0.428571","9","9","2","0","0.428571","9","1","1","0","0","1","12","17","0","0","0","0","2","0","1","0","2","3","0","1","0","12","17","0","0","0","0","2","0","1","0","2","3","0","1","0","0","0","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"L8389","RendererMap","org.apache.log4j.or.RendererMap","L13559","L103","D:\Development\SourceMeter-7.0.2-x64-windows\Java\Demo\apache-log4j-1.2.17\src\main\java\org\apache\log4j\or\RendererMap.java","31","1","198","2","0","0","0","0","0","0","0","0","2","3","3","19","5","7","18","7","16","0.666667","0.461538","72","69","6","3","0.461538","72","0","0","0","0","0","84","168","2","1","2","1","9","0","8","0","9","41","0","8","0","84","168","2","1","2","1","9","0","8","0","9","41","0","8","0","0","0","12","2","12","0","0","0","6","0","0","0","1","0","0","3","0","0","0","0","11","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"L13636","ThreadGroupRenderer","org.apache.log4j.or.ThreadGroupRenderer","L13559","L103","D:\Development\SourceMeter-7.0.2-x64-windows\Java\Demo\apache-log4j-1.2.17\src\main\java\org\apache\log4j\or\ThreadGroupRenderer.java","28","1","81","2","0","0","0","0","0","0","0","0","1","2","2","5","2","0","0","0","2","0.666667","0.368421","21","20","2","1","0.368421","21","1","1","0","0","1","36","54","0","0","0","0","2","0","2","0","2","25","0","2","0","36","54","0","0","0","0","2","0","2","0","2","25","0","2","0","0","0","3","1","6","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","0","0","0"
"L13658","ORTestCase","org.apache.log4j.or.ORTestCase","L13559","L103","D:\Development\SourceMeter-7.0.2-x64-windows\Java\Demo\apache-log4j-1.2.17\tests\src\java\org\apache\log4j\or\ORTestCase.java","40","1","212","2","0.174797","2","2","2","0.0693642","0.1","12","12","3","1","1","14","6","0","0","5","18","0.785714","0.171233","25","24","11","3","0.171233","25","0","0","0","0","0","121","173","9","0","9","0","13","0","13","1","13","69","0","13","1","121","173","9","0","9","0","13","0","13","1","13","69","0","13","1","0","0","41","2","19","0","0","0","0","0","9","0","1","0","0","9","0","0","0","0","29","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","1","0","0"
"L13661","UTObjectRenderer","org.apache.log4j.or.UTObjectRenderer","L13559","L103","D:\Development\SourceMeter-7.0.2-x64-windows\Java\Demo\apache-log4j-1.2.17\tests\src\java\org\apache\log4j\or\ORTestCase.java","214","1","231","2","0","0","0","0","0","0","0","0","1","0","0","3","1","1","1","0","3","0","0","0","0","0","3","0","0","1","1","0","0","1","14","18","1","0","1","0","3","0","2","0","3","3","0","2","0","14","18","1","0","1","0","3","0","2","0","3","3","0","2","0","0","0","9","0","2","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","9","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L13738","A","org.apache.log4j.or.A","L13559","L103","D:\Development\SourceMeter-7.0.2-x64-windows\Java\Demo\apache-log4j-1.2.17\tests\src\java\org\apache\log4j\or\ORTestCase.java","241","1","242","2","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","2","2","1","1","1","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"L13719","B","org.apache.log4j.or.B","L13559","L103","D:\Development\SourceMeter-7.0.2-x64-windows\Java\Demo\apache-log4j-1.2.17\tests\src\java\org\apache\log4j\or\ORTestCase.java","244","1","245","2","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","3","3","0","0","1","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"L8240","BridgePatternConverter","org.apache.log4j.pattern.BridgePatternConverter","L13744","L103","D:\Development\SourceMeter-7.0.2-x64-windows\Java\Demo\apache-log4j-1.2.17\src\main\java\org\apache\log4j\pattern\BridgePatternConverter.java","36","1","132","2","0","0","0","0","0","0","0","0","1","2","2","8","6","2","3","8","12","1","0.411111","37","34","4","0","0.411111","37","1","1","0","0","1","53","97","8","0","3","0","4","0","3","0","8","31","1","5","0","53","97","8","0","3","0","4","0","3","0","8","31","1","5","0","0","0","4","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0"
"L8255","BridgePatternParser","org.apache.log4j.pattern.BridgePatternParser","L13744","L103","D:\Development\SourceMeter-7.0.2-x64-windows\Java\Demo\apache-log4j-1.2.17\src\main\java\org\apache\log4j\pattern\BridgePatternParser.java","28","1","48","2","0","0","0","0","0","0","0","0","1","0","0","2","3","1","1","2","4","1","0.615385","16","16","3","0","0.615385","16","1","1","0","0","1","10","21","24","0","0","0","2","0","2","0","9","2","0","4","0","10","21","24","0","0","0","2","0","2","0","9","2","0","4","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"L13832","CachedDateFormat","org.apache.log4j.pattern.CachedDateFormat","L13744","L103","D:\Development\SourceMeter-7.0.2-x64-windows\Java\Demo\apache-log4j-1.2.17\src\main\java\org\apache\log4j\pattern\CachedDateFormat.java","36","1","372","2","0","0","0","0","0","0","0","0","1","4","4","30","0","2","19","0","9","1","0.568562","170","129","9","0","0.568562","170","0","0","0","0","0","129","337","16","2","16","2","9","2","8","1","9","66","2","8","1","129","337","16","2","16","2","9","2","8","1","9","66","2","8","1","0","0","9","0","2","0","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","1","0","0","0"
"L13929","ClassNamePatternConverter","org.apache.log4j.pattern.ClassNamePatternConverter","L13744","L103","D:\Development\SourceMeter-7.0.2-x64-windows\Java\Demo\apache-log4j-1.2.17\src\main\java\org\apache\log4j\pattern\ClassNamePatternConverter.java","29","1","66","2","0","0","0","0","0","0","0","0","2","1","1","4","3","1","0","4","7","1","0.487179","19","19","3","0","0.487179","19","3","3","0","0","1","20","38","3","2","0","0","3","0","2","0","11","8","0","6","0","20","38","3","2","0","0","3","0","2","0","11","8","0","6","0","0","1","1","0","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L13953","DatePatternConverter","org.apache.log4j.pattern.DatePatternConverter","L13744","L103","D:\Development\SourceMeter-7.0.2-x64-windows\Java\Demo\apache-log4j-1.2.17\src\main\java\org\apache\log4j\pattern\DatePatternConverter.java","36","1","205","2","0","0","0","0","0","0","0","0","1","3","1","15","5","2","1","7","12","1","0.423729","50","46","5","0","0.457516","70","2","2","0","0","1","68","136","9","2","7","0","5","0","4","0","11","33","0","8","0","83","170","11","2","9","0","8","0","7","0","14","38","0","11","0","0","0","4","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0"
"L14024","FileDatePatternConverter","org.apache.log4j.pattern.FileDatePatternConverter","L13744","L103","D:\Development\SourceMeter-7.0.2-x64-windows\Java\Demo\apache-log4j-1.2.17\src\main\java\org\apache\log4j\pattern\FileDatePatternConverter.java","27","1","50","2","0","0","0","0","0","0","0","0","1","1","1","4","2","1","0","1","3","1","0.517241","15","15","2","0","0.517241","15","0","0","0","0","0","14","24","0","0","0","0","2","0","1","0","2","3","0","1","0","14","24","0","0","0","0","2","0","1","0","2","3","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L14034","FileLocationPatternConverter","org.apache.log4j.pattern.FileLocationPatternConverter","L13744","L103","D:\Development\SourceMeter-7.0.2-x64-windows\Java\Demo\apache-log4j-1.2.17\src\main\java\org\apache\log4j\pattern\FileLocationPatternConverter.java","29","1","64","2","0","0","0","0","0","0","0","0","2","1","1","4","3","1","0","3","6","1","0.513514","19","19","3","0","0.513514","19","2","2","0","0","1","18","36","3","2","1","0","3","0","2","0","9","5","0","6","0","18","36","3","2","1","0","3","0","2","0","9","5","0","6","0","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L13790","FormattingInfo","org.apache.log4j.pattern.FormattingInfo","L13744","L103","D:\Development\SourceMeter-7.0.2-x64-windows\Java\Demo\apache-log4j-1.2.17\src\main\java\org\apache\log4j\pattern\FormattingInfo.java","31","1","134","2","0","0","0","0","0","0","0","0","1","4","3","11","0","4","10","0","6","1","0.53","53","53","7","0","0.53","53","0","0","0","0","0","47","104","5","3","5","3","6","0","6","0","6","23","0","6","0","47","104","5","3","5","3","6","0","6","0","6","23","0","6","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L14084","FullLocationPatternConverter","org.apache.log4j.pattern.FullLocationPatternConverter","L13744","L103","D:\Development\SourceMeter-7.0.2-x64-windows\Java\Demo\apache-log4j-1.2.17\src\main\java\org\apache\log4j\pattern\FullLocationPatternConverter.java","29","1","64","2","0","0","0","0","0","0","0","0","2","1","1","4","3","1","0","2","5","1","0.513514","19","19","3","0","0.513514","19","2","2","0","0","1","18","36","3","2","1","0","3","0","2","0","9","5","0","6","0","18","36","3","2","1","0","3","0","2","0","9","5","0","6","0","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
